,0
468,ЗІРОЧКА
469,Данилко
470,Дада
471,КАЛИНОНЬКА
472,Зерновське
473,Вікторія
474,Назарет
475,ЛЕЛЕКА
476,Вишеньки
477,Ставочок
478,Крихітка
480,Турбота
481,Підростайко
482,Веселик
